loan_id,user_id,loan_amount,interest_rate,disbursement_date,tenure_months,loan_purpose,processing_fee,loan_status
L-FK-2024-1040,U-10091,4730,23.3,2024-06-30,6,Electronics Purchase,113.56,Closed
L-FK-2024-1041,U-10136,24740,17.8,2024-08-27,12,Wedding,572.76,Closed
L-FK-2024-1042,U-10068,35170,23.6,2024-09-19,3,Vehicle Repair,501.82,NPA
L-FK-2024-1043,U-10148,24690,16.0,2024-08-18,12,Travel,318.31,Closed
L-FK-2024-1044,U-10157,10300,16.6,2024-07-05,6,Wedding,105.18,Closed
L-FK-2024-1045,U-10105,35240,14.8,2024-10-25,12,Home Repair,789.55,NPA
L-FK-2024-1046,U-10187,7960,14.4,2024-06-11,12,Medical Emergency,136.61,Closed
L-FK-2024-1047,U-10014,14940,12.6,2024-08-15,3,Utility Bills,363.2,Closed
L-FK-2024-1048,U-10107,34560,21.9,2024-07-30,6,Debt Consolidation,377.81,Closed
L-FK-2024-1049,U-10069,14710,22.1,2024-09-07,6,Travel,299.41,Closed
L-FK-2024-1050,U-10026,34780,23.7,2024-12-01,3,Travel,427.72,NPA
L-FK-2024-1051,U-10136,20270,17.7,2025-01-01,9,Business Expense,446.55,Closed
L-FK-2024-1052,U-10114,40320,23.2,2024-05-12,9,Travel,721.03,NPA
L-FK-2024-1053,U-10078,8130,18.4,2025-01-06,3,Utility Bills,191.41,Closed
L-FK-2024-1054,U-10110,29700,18.0,2024-12-23,3,Utility Bills,493.84,Closed
L-FK-2024-1055,U-10152,24640,18.7,2024-04-29,9,Electronics Purchase,413.99,NPA
L-FK-2024-1056,U-10167,25130,16.2,2024-09-05,3,Wedding,523.94,Defaulted
L-FK-2024-1057,U-10032,5310,16.3,2024-04-24,3,Vehicle Repair,86.85,Closed
L-FK-2024-1058,U-10155,4620,16.2,2024-10-27,6,Electronics Purchase,58.67,Closed
L-FK-2024-1059,U-10111,17940,17.5,2024-10-11,6,Education,280.49,NPA
L-FK-2024-1060,U-10157,40430,14.5,2025-01-01,6,Business Expense,642.67,Closed
L-FK-2024-1061,U-10083,5320,23.9,2024-11-24,3,Electronics Purchase,106.95,NPA
L-FK-2024-1062,U-10036,29940,19.4,2024-11-22,12,Business Expense,454.86,Closed
L-FK-2024-1063,U-10184,7580,22.0,2024-04-09,12,Home Repair,103.16,Closed
L-FK-2024-1064,U-10148,34580,16.4,2024-04-25,6,Electronics Purchase,472.74,Closed
L-FK-2024-1065,U-10195,24790,17.3,2024-04-29,9,Business Expense,300.01,Closed
L-FK-2024-1066,U-10055,34880,21.6,2024-09-12,9,Vehicle Repair,472.75,Closed
L-FK-2024-1067,U-10108,11970,15.1,2025-01-11,6,Electronics Purchase,290.01,Closed
L-FK-2024-1068,U-10021,30060,23.8,2024-10-13,3,Electronics Purchase,654.92,Closed
L-FK-2024-1069,U-10011,19700,20.3,2025-01-01,6,Wedding,336.92,Closed
L-FK-2024-1070,U-10080,10380,23.5,2025-01-13,6,Vehicle Repair,168.05,Defaulted
L-FK-2024-1071,U-10042,29690,15.0,2024-07-14,6,Debt Consolidation,443.98,Closed
L-FK-2024-1072,U-10182,17640,22.3,2024-07-07,9,Utility Bills,190.04,Defaulted
L-FK-2024-1073,U-10014,34590,11.7,2025-01-26,12,Business Expense,721.71,NPA
L-FK-2024-1074,U-10154,24760,17.6,2024-09-03,12,Business Expense,603.04,Closed
L-FK-2024-1075,U-10184,12310,22.5,2024-12-02,3,Business Expense,291.95,NPA
L-FK-2024-1076,U-10098,19800,15.3,2024-08-23,9,Travel,311.06,NPA
L-FK-2024-1077,U-10134,14820,19.1,2024-12-11,6,Travel,251.79,Defaulted
L-FK-2024-1078,U-10189,11930,20.5,2025-01-14,6,Medical Emergency,273.93,Closed
L-FK-2024-1079,U-10166,15120,21.5,2024-10-31,9,Travel,218.15,Closed
L-FK-2024-1080,U-10090,11940,17.3,2024-12-12,9,Wedding,218.02,Closed
L-FK-2024-1081,U-10043,25290,17.0,2024-11-22,12,Education,316.72,Closed
L-FK-2024-1082,U-10129,10290,18.9,2025-01-03,9,Vehicle Repair,255.76,Closed
L-FK-2024-1083,U-10171,5410,18.4,2024-04-25,12,Education,116.13,Defaulted
L-FK-2024-1084,U-10079,39790,22.2,2024-04-05,3,Travel,528.44,Defaulted
L-FK-2024-1085,U-10122,5180,16.7,2024-12-04,12,Medical Emergency,103.03,Closed
L-FK-2024-1086,U-10128,30110,18.1,2024-12-28,6,Wedding,627.28,NPA
L-FK-2024-1087,U-10150,5060,16.8,2024-11-07,12,Home Repair,111.79,Closed
L-FK-2024-1088,U-10035,8090,17.4,2024-12-26,3,Wedding,111.53,Closed
L-FK-2024-1089,U-10066,19630,21.8,2024-11-22,6,Wedding,362.66,Closed
L-FK-2024-1090,U-10163,40400,18.5,2024-04-17,12,Electronics Purchase,460.66,Defaulted
L-FK-2024-1091,U-10067,30040,16.5,2024-06-27,3,Travel,337.66,Defaulted
L-FK-2024-1092,U-10087,35430,23.4,2024-04-22,3,Travel,476.41,NPA
L-FK-2024-1093,U-10046,14600,22.1,2024-08-22,3,Medical Emergency,342.95,NPA
L-FK-2024-1094,U-10031,10420,11.5,2024-07-16,6,Home Repair,195.95,Defaulted
L-FK-2024-1095,U-10123,14720,15.0,2024-10-17,9,Travel,296.69,NPA
L-FK-2024-1096,U-10094,20320,18.8,2024-05-11,12,Medical Emergency,355.84,Closed
L-FK-2024-1097,U-10136,8000,17.4,2024-09-22,3,Utility Bills,152.62,NPA
L-FK-2024-1098,U-10019,20340,14.1,2024-08-18,6,Debt Consolidation,442.46,Defaulted
L-FK-2024-1099,U-10006,11910,21.6,2024-11-08,9,Electronics Purchase,152.28,NPA
L-FK-2024-1100,U-10112,8340,15.2,2024-08-05,9,Wedding,172.61,Closed
L-FK-2024-1101,U-10132,9940,22.7,2024-06-18,12,Travel,209.68,Closed
L-FK-2024-1102,U-10183,7640,17.8,2024-11-14,3,Home Repair,117.65,Closed
L-FK-2024-1103,U-10065,9640,18.6,2025-01-11,3,Home Repair,176.62,Defaulted
L-FK-2024-1104,U-10181,4640,19.3,2025-01-31,6,Electronics Purchase,88.02,Closed
L-FK-2024-1105,U-10049,4850,20.3,2024-05-14,6,Business Expense,101.23,NPA
L-FK-2024-1106,U-10013,35080,20.1,2024-06-26,3,Wedding,423.86,Closed
L-FK-2024-1107,U-10003,24700,11.9,2024-08-20,3,Home Repair,403.02,Defaulted
L-FK-2024-1108,U-10150,17810,16.9,2024-12-10,3,Debt Consolidation,336.74,Closed
L-FK-2024-1109,U-10092,7690,18.0,2024-10-20,6,Electronics Purchase,115.22,NPA
L-FK-2024-1110,U-10152,18000,18.6,2025-01-30,6,Utility Bills,216.75,Closed
L-FK-2024-1111,U-10095,12040,11.9,2024-10-21,6,Debt Consolidation,295.35,Closed
L-FK-2024-1112,U-10041,35350,15.3,2024-08-22,3,Travel,786.45,Defaulted
L-FK-2024-1113,U-10086,8130,21.6,2025-01-05,3,Medical Emergency,103.24,NPA
L-FK-2024-1114,U-10109,25280,20.6,2024-08-28,3,Electronics Purchase,568.02,Closed
L-FK-2024-1115,U-10197,40060,13.1,2024-08-02,3,Electronics Purchase,552.44,Closed
L-FK-2024-1116,U-10130,19620,23.9,2024-12-02,6,Vehicle Repair,367.55,NPA
L-FK-2024-1117,U-10103,20110,22.7,2024-10-02,3,Utility Bills,412.75,NPA
L-FK-2024-1118,U-10006,39640,20.6,2024-09-29,3,Medical Emergency,495.3,NPA
L-FK-2024-1119,U-10151,35210,16.6,2024-09-17,12,Home Repair,862.14,Defaulted
L-FK-2024-1120,U-10051,4650,14.9,2024-12-22,6,Business Expense,85.42,NPA
L-FK-2024-1121,U-10023,24930,15.9,2025-01-27,6,Travel,507.49,Closed
L-FK-2024-1122,U-10033,5040,19.8,2024-05-14,3,Travel,59.17,Closed
L-FK-2024-1123,U-10138,14900,22.7,2024-12-23,6,Home Repair,256.93,Defaulted
L-FK-2024-1124,U-10028,25290,15.8,2024-05-05,12,Medical Emergency,366.81,Closed
L-FK-2024-1125,U-10074,18210,22.1,2024-06-24,3,Vehicle Repair,436.11,Closed
L-FK-2024-1126,U-10146,10120,15.3,2024-11-05,3,Electronics Purchase,246.69,Closed
L-FK-2024-1127,U-10061,39740,16.6,2024-11-08,3,Business Expense,633.21,NPA
L-FK-2024-1128,U-10116,25160,15.6,2024-07-19,6,Utility Bills,329.26,Closed
L-FK-2024-1129,U-10082,8370,21.2,2024-10-05,12,Home Repair,124.63,Defaulted
L-FK-2024-1130,U-10057,15240,16.0,2024-09-08,12,Electronics Purchase,288.87,NPA
L-FK-2024-1131,U-10174,34670,20.1,2024-11-21,6,Utility Bills,667.76,Closed
L-FK-2024-1132,U-10180,34640,14.5,2024-05-31,12,Education,470.36,Closed
L-FK-2024-1133,U-10197,18260,12.8,2024-11-01,3,Electronics Purchase,345.96,NPA
L-FK-2024-1134,U-10168,19740,16.5,2024-06-28,6,Wedding,361.71,Defaulted
L-FK-2024-1135,U-10049,9740,23.1,2024-04-28,6,Debt Consolidation,223.85,Closed
L-FK-2024-1136,U-10085,9750,18.3,2025-01-13,12,Electronics Purchase,171.42,Defaulted
L-FK-2024-1137,U-10053,40050,22.3,2024-11-14,6,Utility Bills,694.09,Closed
L-FK-2024-1138,U-10192,5360,14.9,2024-04-17,12,Wedding,75.7,NPA
L-FK-2024-1139,U-10171,10350,21.4,2024-12-10,6,Utility Bills,188.84,Closed
L-FK-2024-1140,U-10179,7820,16.2,2024-10-05,12,Debt Consolidation,141.78,Closed
L-FK-2024-1141,U-10111,29770,14.4,2024-08-05,6,Debt Consolidation,430.64,Closed
L-FK-2024-1142,U-10143,14910,17.3,2024-11-11,12,Business Expense,342.62,Closed
L-FK-2024-1143,U-10114,12380,21.5,2024-09-27,12,Electronics Purchase,283.7,NPA
L-FK-2024-1144,U-10158,10180,20.7,2024-07-15,3,Travel,224.79,NPA
L-FK-2024-1145,U-10013,29840,19.2,2024-09-13,9,Wedding,736.6,Closed
L-FK-2024-1146,U-10070,34820,21.1,2024-05-19,12,Medical Emergency,419.02,Defaulted
L-FK-2024-1147,U-10173,15440,14.5,2024-06-07,12,Business Expense,212.23,Closed
L-FK-2024-1148,U-10043,39950,14.6,2024-08-16,6,Debt Consolidation,775.72,Defaulted
L-FK-2024-1149,U-10082,8200,23.3,2024-05-18,12,Travel,131.55,Closed
L-FK-2024-1150,U-10196,25050,13.0,2024-05-18,6,Travel,525.15,Defaulted
L-FK-2024-1151,U-10091,8360,20.4,2024-11-06,9,Wedding,187.04,Defaulted
L-FK-2024-1152,U-10150,18400,15.4,2025-01-21,6,Travel,220.04,Defaulted
L-FK-2024-1153,U-10143,40330,14.2,2024-11-22,3,Debt Consolidation,413.15,Closed
L-FK-2024-1154,U-10119,24550,14.8,2024-06-07,6,Education,570.35,Closed
L-FK-2024-1155,U-10063,14640,18.2,2024-05-13,12,Medical Emergency,228.06,Closed
L-FK-2024-1156,U-10072,20190,22.4,2024-07-29,6,Home Repair,331.89,Closed
L-FK-2024-1157,U-10187,4770,14.3,2025-01-29,6,Medical Emergency,63.88,Defaulted
L-FK-2024-1158,U-10071,5260,13.5,2024-11-03,6,Home Repair,107.36,Defaulted
L-FK-2024-1159,U-10062,11940,20.4,2024-05-23,3,Wedding,137.88,Closed
L-FK-2024-1160,U-10020,9940,17.3,2024-06-08,12,Home Repair,195.06,Closed
L-FK-2024-1161,U-10043,30130,16.4,2024-06-24,3,Education,500.2,Closed
L-FK-2024-1162,U-10053,20180,20.7,2024-07-21,12,Education,228.04,Closed
L-FK-2024-1163,U-10009,8150,20.3,2024-11-06,12,Business Expense,119.95,Closed
L-FK-2024-1164,U-10131,15210,15.0,2024-08-24,3,Wedding,329.82,Closed
L-FK-2024-1165,U-10047,12080,16.0,2024-10-18,9,Business Expense,174.35,Closed
L-FK-2024-1166,U-10030,24940,15.0,2025-01-30,3,Travel,275.97,Closed
L-FK-2024-1167,U-10102,17680,23.2,2025-01-17,6,Education,288.41,NPA
L-FK-2024-1168,U-10111,25340,14.1,2024-05-05,3,Medical Emergency,258.64,Closed
L-FK-2024-1169,U-10133,5360,16.0,2024-12-13,6,Electronics Purchase,115.28,Defaulted
L-FK-2024-1170,U-10177,8200,21.2,2024-06-18,9,Home Repair,116.13,Closed
L-FK-2024-1171,U-10121,29760,18.9,2024-09-15,12,Wedding,472.02,Closed
L-FK-2024-1172,U-10065,20300,17.4,2024-08-04,12,Home Repair,229.25,Defaulted
L-FK-2024-1173,U-10200,25180,18.3,2024-06-29,9,Medical Emergency,296.91,Closed
L-FK-2024-1174,U-10050,10060,21.1,2024-08-11,6,Wedding,125.79,Closed
L-FK-2024-1175,U-10051,8340,15.3,2024-11-06,3,Wedding,117.42,Closed
L-FK-2024-1176,U-10008,35190,19.0,2024-12-18,3,Utility Bills,541.99,Defaulted
L-FK-2024-1177,U-10126,9930,15.0,2024-05-23,3,Business Expense,232.5,Closed
L-FK-2024-1178,U-10191,29550,13.6,2024-04-07,3,Travel,403.9,Defaulted
L-FK-2024-1179,U-10031,19700,13.8,2024-04-19,3,Business Expense,360.37,Defaulted
L-FK-2024-1180,U-10176,17800,17.7,2024-09-11,6,Utility Bills,250.43,Closed
L-FK-2024-1181,U-10158,17670,20.0,2024-04-27,9,Medical Emergency,224.24,NPA
L-FK-2024-1182,U-10075,19620,23.2,2024-09-07,6,Debt Consolidation,292.52,NPA
L-FK-2024-1183,U-10012,4930,12.2,2024-09-03,3,Debt Consolidation,103.99,Closed
L-FK-2024-1184,U-10120,18160,24.0,2024-07-10,6,Business Expense,381.12,NPA
L-FK-2024-1185,U-10174,9560,18.1,2025-01-03,6,Travel,145.28,Closed
L-FK-2024-1186,U-10149,5330,20.3,2024-09-05,12,Business Expense,61.61,NPA
L-FK-2024-1187,U-10155,20050,21.8,2024-06-12,3,Medical Emergency,414.53,Closed
L-FK-2024-1188,U-10172,12420,15.7,2024-10-08,9,Utility Bills,209.61,Closed
L-FK-2024-1189,U-10075,8070,21.8,2024-10-19,3,Medical Emergency,89.76,NPA
L-FK-2024-1190,U-10108,20230,14.9,2024-08-12,3,Travel,460.51,Defaulted
L-FK-2024-1191,U-10027,18010,19.4,2024-07-13,6,Home Repair,216.87,NPA
L-FK-2024-1192,U-10101,9660,15.8,2024-09-08,3,Travel,155.5,NPA
L-FK-2024-1193,U-10055,12010,20.8,2024-06-01,6,Utility Bills,136.39,Closed
L-FK-2024-1194,U-10194,4770,23.1,2024-06-15,12,Travel,54.23,Closed
L-FK-2024-1195,U-10145,20080,22.1,2024-08-12,3,Medical Emergency,447.81,Closed
L-FK-2024-1196,U-10134,20420,19.3,2025-01-07,6,Home Repair,280.73,Defaulted
L-FK-2024-1197,U-10022,9670,16.4,2024-07-23,3,Travel,115.66,Defaulted
L-FK-2024-1198,U-10054,40200,14.3,2025-01-26,12,Medical Emergency,558.07,Closed
L-FK-2024-1199,U-10119,7750,15.8,2024-06-05,12,Home Repair,88.19,Closed
L-FK-2024-1200,U-10195,5020,17.0,2025-01-19,3,Debt Consolidation,82.82,Defaulted
L-FK-2024-1201,U-10090,4940,15.7,2024-09-29,12,Wedding,65.31,Closed
L-FK-2024-1202,U-10169,15010,18.2,2024-08-04,3,Electronics Purchase,295.83,Defaulted
L-FK-2024-1203,U-10185,30040,16.5,2024-10-14,3,Vehicle Repair,362.24,Closed
L-FK-2024-1204,U-10098,12200,16.2,2024-04-10,12,Debt Consolidation,303.06,Closed
L-FK-2024-1205,U-10104,30350,15.4,2025-01-15,6,Wedding,532.21,Defaulted
L-FK-2024-1206,U-10115,9580,16.4,2024-04-16,6,Medical Emergency,224.52,Closed
L-FK-2024-1207,U-10193,25090,17.1,2024-07-29,6,Business Expense,617.46,Closed
L-FK-2024-1208,U-10056,39800,21.2,2024-04-29,6,Utility Bills,854.14,Closed
L-FK-2024-1209,U-10200,19910,23.9,2024-06-28,12,Travel,251.69,NPA
L-FK-2024-1210,U-10175,18160,16.8,2024-09-28,3,Education,439.71,NPA
L-FK-2024-1211,U-10059,34740,23.9,2024-12-09,12,Debt Consolidation,629.9,Closed
L-FK-2024-1212,U-10150,4640,14.9,2024-07-22,3,Medical Emergency,47.79,Defaulted
L-FK-2024-1213,U-10168,18180,17.2,2024-09-22,3,Medical Emergency,377.31,Closed
L-FK-2024-1214,U-10041,4700,16.8,2024-06-12,9,Travel,101.59,NPA
L-FK-2024-1215,U-10062,7930,21.7,2024-10-20,12,Wedding,149.01,Closed
L-FK-2024-1216,U-10135,17690,13.3,2024-11-10,3,Travel,387.02,Defaulted
L-FK-2024-1217,U-10100,10270,22.2,2024-09-30,9,Education,137.09,NPA
L-FK-2024-1218,U-10008,19860,20.1,2024-06-05,12,Utility Bills,251.54,Closed
L-FK-2024-1219,U-10169,20420,23.8,2024-04-17,12,Utility Bills,259.97,Closed
L-FK-2024-1220,U-10196,12200,11.8,2024-12-11,9,Business Expense,147.74,Closed
L-FK-2024-1221,U-10005,17880,19.8,2024-05-16,3,Debt Consolidation,399.17,Closed
L-FK-2024-1222,U-10086,4820,19.5,2024-05-05,3,Medical Emergency,73.54,Closed
L-FK-2024-1223,U-10137,4940,22.4,2024-06-25,6,Electronics Purchase,114.95,Defaulted
L-FK-2024-1224,U-10123,18110,14.4,2024-12-02,6,Business Expense,395.36,NPA
L-FK-2024-1225,U-10081,10010,17.2,2024-04-18,3,Wedding,144.38,Closed
L-FK-2024-1226,U-10178,7620,19.0,2024-10-10,6,Vehicle Repair,94.59,Closed
L-FK-2024-1227,U-10159,7900,23.9,2024-12-04,9,Education,162.48,Defaulted
L-FK-2024-1228,U-10013,34990,16.3,2024-09-17,3,Electronics Purchase,457.78,Closed
L-FK-2024-1229,U-10060,30290,12.9,2024-08-23,12,Medical Emergency,438.02,Closed
L-FK-2024-1230,U-10082,20140,23.0,2024-06-18,9,Electronics Purchase,217.87,Closed
L-FK-2024-1231,U-10014,7850,13.2,2024-12-02,12,Business Expense,102.01,Closed
L-FK-2024-1232,U-10165,10200,23.9,2024-11-29,6,Electronics Purchase,231.1,Closed
L-FK-2024-1233,U-10106,25050,12.2,2025-01-04,12,Electronics Purchase,396.11,Closed
L-FK-2024-1234,U-10029,17740,16.3,2024-11-12,6,Wedding,301.15,Closed
L-FK-2024-1235,U-10069,34610,22.5,2024-05-20,3,Vehicle Repair,390.59,Closed
L-FK-2024-1236,U-10163,20320,19.4,2024-05-02,9,Electronics Purchase,459.47,NPA
L-FK-2024-1237,U-10149,30250,23.6,2025-01-19,12,Wedding,702.55,Defaulted
L-FK-2024-1238,U-10058,7950,22.3,2024-12-14,12,Utility Bills,147.62,NPA
L-FK-2024-1239,U-10096,40180,18.7,2024-11-16,3,Business Expense,505.99,Closed
L-FK-2024-1240,U-10001,11680,20.5,2024-11-09,3,Utility Bills,152.18,Closed
L-FK-2024-1241,U-10071,14880,13.8,2024-05-05,12,Electronics Purchase,168.22,NPA
L-FK-2024-1242,U-10164,29880,12.2,2024-11-21,12,Utility Bills,709.87,Closed
L-FK-2024-1243,U-10023,35080,15.7,2024-10-30,12,Utility Bills,429.54,NPA
L-FK-2024-1244,U-10113,35330,13.8,2025-01-14,3,Vehicle Repair,766.42,Closed
L-FK-2024-1245,U-10038,18450,19.6,2024-12-05,6,Medical Emergency,342.81,Defaulted
L-FK-2024-1246,U-10156,9830,16.9,2024-10-23,6,Business Expense,104.02,Closed
L-FK-2024-1247,U-10158,5310,21.5,2024-10-08,6,Wedding,54.71,Closed
L-FK-2024-1248,U-10099,15410,23.1,2024-05-21,6,Education,378.89,Closed
L-FK-2024-1249,U-10004,15310,17.1,2024-09-12,6,Utility Bills,214.97,Defaulted
L-FK-2024-1250,U-10084,39640,15.8,2024-10-26,3,Travel,836.97,NPA
L-FK-2024-1251,U-10092,5080,19.0,2024-09-07,12,Education,104.87,Defaulted
L-FK-2024-1252,U-10080,30450,18.2,2024-07-08,9,Medical Emergency,704.24,Closed
L-FK-2024-1253,U-10142,11580,14.2,2024-10-02,6,Travel,238.19,Closed
L-FK-2024-1254,U-10170,25070,13.1,2024-06-03,6,Travel,506.86,Closed
L-FK-2024-1255,U-10017,25160,17.1,2024-11-29,6,Travel,473.09,Closed
L-FK-2024-1256,U-10021,10410,22.5,2024-05-17,6,Medical Emergency,148.61,Defaulted
L-FK-2024-1257,U-10144,10420,17.1,2024-07-19,9,Business Expense,238.17,Closed
L-FK-2024-1258,U-10188,15220,16.1,2024-04-05,6,Education,260.44,Closed
L-FK-2024-1259,U-10196,35370,12.1,2024-09-04,3,Electronics Purchase,731.84,Closed
L-FK-2024-1260,U-10015,20420,20.8,2024-07-21,6,Utility Bills,347.15,NPA
L-FK-2024-1261,U-10039,20150,18.0,2024-10-09,3,Utility Bills,371.2,NPA
L-FK-2024-1262,U-10093,14860,14.4,2024-05-03,12,Travel,223.56,Closed
L-FK-2024-1263,U-10200,14820,22.3,2024-08-31,12,Business Expense,190.07,NPA
L-FK-2024-1264,U-10089,5370,22.8,2024-10-24,12,Medical Emergency,106.91,Closed
L-FK-2024-1265,U-10034,40060,19.6,2024-11-01,6,Utility Bills,643.72,Closed
L-FK-2024-1266,U-10134,35380,18.1,2024-07-23,3,Travel,718.03,Defaulted
L-FK-2024-1267,U-10048,29860,14.7,2025-01-11,12,Debt Consolidation,379.73,Closed
L-FK-2024-1268,U-10071,10310,13.3,2025-01-12,6,Travel,221.09,Closed
L-FK-2024-1269,U-10081,39640,15.4,2024-09-05,3,Travel,646.41,Closed
L-FK-2024-1270,U-10007,15150,15.9,2024-05-31,6,Utility Bills,258.43,NPA
L-FK-2024-1271,U-10025,34620,23.3,2024-12-13,6,Vehicle Repair,408.42,Defaulted
L-FK-2024-1272,U-10002,14970,23.2,2024-06-17,3,Travel,180.55,Closed
L-FK-2024-1273,U-10198,20130,14.6,2024-07-02,6,Travel,436.5,Defaulted
L-FK-2024-1274,U-10196,39730,13.1,2024-04-03,6,Education,666.7,Closed
L-FK-2024-1275,U-10045,35330,16.0,2024-05-16,3,Electronics Purchase,421.88,Defaulted
L-FK-2024-1276,U-10148,19990,15.5,2024-04-20,6,Medical Emergency,359.95,Closed
L-FK-2024-1277,U-10089,18320,21.2,2024-04-10,12,Business Expense,369.17,Closed
L-FK-2024-1278,U-10013,17870,16.6,2024-12-14,3,Home Repair,336.49,Closed
L-FK-2024-1279,U-10186,4860,15.8,2024-12-23,6,Electronics Purchase,92.08,Closed
L-FK-2024-1280,U-10048,39690,18.0,2024-12-07,6,Education,610.78,Closed
L-FK-2024-1281,U-10106,19570,12.1,2024-06-07,3,Utility Bills,257.69,Closed
L-FK-2024-1282,U-10031,29720,12.4,2024-04-20,3,Vehicle Repair,464.46,Closed
L-FK-2024-1283,U-10100,34600,24.0,2024-05-26,9,Medical Emergency,685.2,Closed
L-FK-2024-1284,U-10010,7980,20.3,2025-01-06,6,Business Expense,110.05,Closed
L-FK-2024-1285,U-10072,40200,19.8,2024-05-22,3,Utility Bills,801.48,Closed
L-FK-2024-1286,U-10169,35270,20.5,2024-05-24,3,Home Repair,623.35,NPA
L-FK-2024-1287,U-10025,14670,18.6,2024-07-11,12,Vehicle Repair,280.71,Closed
L-FK-2024-1288,U-10121,11920,20.5,2024-06-22,12,Business Expense,126.25,Defaulted
L-FK-2024-1289,U-10076,24890,11.5,2024-05-16,3,Debt Consolidation,587.48,NPA
L-FK-2024-1290,U-10118,9640,21.1,2024-05-22,12,Debt Consolidation,227.23,Closed
L-FK-2024-1291,U-10190,14820,14.2,2024-06-29,6,Travel,342.52,Closed
L-FK-2024-1292,U-10124,39870,17.0,2024-05-19,6,Medical Emergency,907.79,Closed
L-FK-2024-1293,U-10016,10230,14.7,2024-10-01,12,Wedding,239.57,NPA
L-FK-2024-1294,U-10133,7930,15.4,2024-05-29,12,Wedding,126.97,Defaulted
L-FK-2024-1295,U-10010,20260,20.9,2024-11-02,12,Home Repair,399.78,Closed
L-FK-2024-1296,U-10111,10260,14.2,2024-06-21,12,Debt Consolidation,118.56,NPA
