collection_id,loan_id,contact_date,contact_mode,response,promise_to_pay_date,resolved
C-FK-8030,L-FK-2024-1022,12-11-2024,Email,Already Paid,,False
C-FK-8031,L-FK-2024-1022,22-11-2024,Phone Call,No Response,,False
C-FK-8032,L-FK-2024-1022,04-12-2024,SMS,Promise to Pay,18-12-2024,True
C-FK-8033,L-FK-2024-1025,22-02-2025,Field Visit,Promise to Pay,27-02-2025,True
C-FK-8034,L-FK-2024-1025,26-02-2025,Email,Promise to Pay,05-03-2025,False
C-FK-8035,L-FK-2024-1025,04-03-2025,Phone Call,No Response,,False
C-FK-8036,L-FK-2024-1025,02-04-2025,SMS,Disputed,,False
C-FK-8037,L-FK-2024-1027,20-12-2024,Field Visit,Promise to Pay,03-01-2025,False
C-FK-8038,L-FK-2024-1027,26-12-2024,Phone Call,Already Paid,,False
C-FK-8039,L-FK-2024-1027,15-01-2025,Phone Call,Requested Extension,,False
C-FK-8040,L-FK-2024-1027,16-01-2025,Email,Disputed,,False
C-FK-8041,L-FK-2024-1028,09-07-2024,Email,No Response,,False
C-FK-8042,L-FK-2024-1032,16-11-2024,SMS,Disputed,,False
C-FK-8043,L-FK-2024-1032,22-11-2024,Phone Call,No Response,,False
C-FK-8044,L-FK-2024-1034,02-01-2025,SMS,Disputed,,False
C-FK-8045,L-FK-2024-1034,15-01-2025,SMS,No Response,,False
C-FK-8046,L-FK-2024-1034,10-01-2025,Email,Promise to Pay,24-01-2025,False
C-FK-8047,L-FK-2024-1034,04-02-2025,WhatsApp,No Response,,False
C-FK-8048,L-FK-2024-1036,02-01-2025,Field Visit,Promise to Pay,14-01-2025,False
C-FK-8049,L-FK-2024-1036,11-01-2025,Phone Call,Already Paid,,False
C-FK-8050,L-FK-2024-1036,14-01-2025,SMS,Promise to Pay,18-01-2025,False
C-FK-8051,L-FK-2024-1042,13-11-2024,Phone Call,Disputed,,False
C-FK-8052,L-FK-2024-1045,07-12-2024,WhatsApp,Promise to Pay,11-12-2024,True
C-FK-8053,L-FK-2024-1045,20-12-2024,WhatsApp,Requested Extension,,False
C-FK-8054,L-FK-2024-1045,13-12-2024,SMS,No Response,,False
C-FK-8055,L-FK-2024-1045,03-01-2025,Field Visit,Disputed,,False
C-FK-8056,L-FK-2024-1050,06-01-2025,Field Visit,Requested Extension,,False
C-FK-8057,L-FK-2024-1050,11-01-2025,Phone Call,Disputed,,False
C-FK-8058,L-FK-2024-1050,30-01-2025,Email,Disputed,,False
C-FK-8059,L-FK-2024-1050,14-02-2025,WhatsApp,Promise to Pay,22-02-2025,False
C-FK-8060,L-FK-2024-1052,15-06-2024,Field Visit,No Response,,False
C-FK-8061,L-FK-2024-1052,27-06-2024,Email,Already Paid,,False
C-FK-8062,L-FK-2024-1052,07-07-2024,Phone Call,Promise to Pay,18-07-2024,True
C-FK-8063,L-FK-2024-1052,03-07-2024,Field Visit,No Response,,False
C-FK-8064,L-FK-2024-1055,17-06-2024,SMS,Already Paid,,False
C-FK-8065,L-FK-2024-1056,10-10-2024,SMS,Promise to Pay,18-10-2024,False
C-FK-8066,L-FK-2024-1056,15-10-2024,SMS,Already Paid,,False
C-FK-8067,L-FK-2024-1056,05-11-2024,SMS,No Response,,False
C-FK-8068,L-FK-2024-1056,21-11-2024,Email,Requested Extension,,False
C-FK-8069,L-FK-2024-1056,05-12-2024,SMS,Disputed,,False
C-FK-8070,L-FK-2024-1059,30-11-2024,Field Visit,No Response,,False
C-FK-8071,L-FK-2024-1059,09-12-2024,Phone Call,Disputed,,False
C-FK-8072,L-FK-2024-1059,12-12-2024,WhatsApp,Disputed,,False
C-FK-8073,L-FK-2024-1061,06-01-2025,SMS,No Response,,False
C-FK-8074,L-FK-2024-1061,19-01-2025,Field Visit,Promise to Pay,31-01-2025,True
C-FK-8075,L-FK-2024-1070,23-02-2025,Phone Call,No Response,,False
C-FK-8076,L-FK-2024-1070,05-03-2025,SMS,No Response,,False
C-FK-8077,L-FK-2024-1070,01-03-2025,SMS,Promise to Pay,07-03-2025,False
C-FK-8078,L-FK-2024-1072,10-09-2024,Email,Promise to Pay,21-09-2024,False
C-FK-8079,L-FK-2024-1072,17-09-2024,Email,Promise to Pay,01-10-2024,False
C-FK-8080,L-FK-2024-1072,20-09-2024,SMS,Requested Extension,,False
C-FK-8081,L-FK-2024-1072,01-10-2024,Field Visit,Disputed,,False
C-FK-8082,L-FK-2024-1072,20-10-2024,Email,Promise to Pay,27-10-2024,True
C-FK-8083,L-FK-2024-1073,26-04-2025,Email,Already Paid,,False
C-FK-8084,L-FK-2024-1075,31-01-2025,Field Visit,Already Paid,,False
C-FK-8085,L-FK-2024-1075,12-02-2025,SMS,Already Paid,,False
C-FK-8086,L-FK-2024-1076,23-09-2024,Phone Call,Already Paid,,False
C-FK-8087,L-FK-2024-1076,30-09-2024,Field Visit,Requested Extension,,False
C-FK-8088,L-FK-2024-1076,03-10-2024,SMS,Requested Extension,,False
C-FK-8089,L-FK-2024-1076,14-10-2024,Email,Already Paid,,False
C-FK-8090,L-FK-2024-1077,08-02-2025,Field Visit,Already Paid,,False
C-FK-8091,L-FK-2024-1077,20-02-2025,Phone Call,Already Paid,,False
C-FK-8092,L-FK-2024-1077,24-02-2025,SMS,Promise to Pay,10-03-2025,False
C-FK-8093,L-FK-2024-1083,25-05-2024,WhatsApp,Requested Extension,,False
C-FK-8094,L-FK-2024-1083,04-06-2024,Email,Already Paid,,False
C-FK-8095,L-FK-2024-1084,21-06-2024,Email,Already Paid,,False
C-FK-8096,L-FK-2024-1084,28-06-2024,Phone Call,Requested Extension,,False
C-FK-8097,L-FK-2024-1084,09-07-2024,Phone Call,No Response,,False
C-FK-8098,L-FK-2024-1084,18-07-2024,SMS,Requested Extension,,False
C-FK-8099,L-FK-2024-1086,16-03-2025,WhatsApp,Disputed,,False
C-FK-8100,L-FK-2024-1086,27-03-2025,WhatsApp,Already Paid,,False
C-FK-8101,L-FK-2024-1090,27-06-2024,SMS,Already Paid,,False
C-FK-8102,L-FK-2024-1091,26-08-2024,Phone Call,Disputed,,False
C-FK-8103,L-FK-2024-1091,09-09-2024,SMS,Promise to Pay,16-09-2024,True
C-FK-8104,L-FK-2024-1092,06-06-2024,SMS,Requested Extension,,False
C-FK-8105,L-FK-2024-1092,09-06-2024,Phone Call,No Response,,False
C-FK-8106,L-FK-2024-1092,02-07-2024,Email,Already Paid,,False
C-FK-8107,L-FK-2024-1093,17-11-2024,SMS,Requested Extension,,False
C-FK-8108,L-FK-2024-1093,26-11-2024,WhatsApp,Promise to Pay,05-12-2024,False
C-FK-8109,L-FK-2024-1093,09-12-2024,Email,Requested Extension,,False
C-FK-8110,L-FK-2024-1093,23-12-2024,Email,Disputed,,False
C-FK-8111,L-FK-2024-1093,12-01-2025,Phone Call,No Response,,False
C-FK-8112,L-FK-2024-1094,03-10-2024,Email,Promise to Pay,10-10-2024,True
C-FK-8113,L-FK-2024-1094,17-10-2024,Phone Call,Disputed,,False
C-FK-8114,L-FK-2024-1094,13-10-2024,Phone Call,Already Paid,,False
C-FK-8115,L-FK-2024-1094,15-10-2024,Email,No Response,,False
C-FK-8116,L-FK-2024-1094,16-11-2024,WhatsApp,Already Paid,,False
C-FK-8117,L-FK-2024-1095,26-11-2024,SMS,Disputed,,False
C-FK-8118,L-FK-2024-1095,10-12-2024,Field Visit,Promise to Pay,16-12-2024,False
C-FK-8119,L-FK-2024-1095,04-12-2024,Field Visit,Already Paid,,False
C-FK-8120,L-FK-2024-1095,14-12-2024,SMS,Promise to Pay,20-12-2024,False
C-FK-8121,L-FK-2024-1097,07-11-2024,Field Visit,Already Paid,,False
C-FK-8122,L-FK-2024-1097,11-11-2024,Email,Promise to Pay,15-11-2024,False
C-FK-8123,L-FK-2024-1098,04-10-2024,Phone Call,Disputed,,False
C-FK-8124,L-FK-2024-1099,23-12-2024,Phone Call,Already Paid,,False
C-FK-8125,L-FK-2024-1099,26-12-2024,WhatsApp,No Response,,False
C-FK-8126,L-FK-2024-1099,29-12-2024,Phone Call,Requested Extension,,False
C-FK-8127,L-FK-2024-1099,04-01-2025,Email,Promise to Pay,15-01-2025,True
C-FK-8128,L-FK-2024-1099,09-02-2025,WhatsApp,Requested Extension,,False
C-FK-8129,L-FK-2024-1103,12-03-2025,Email,Requested Extension,,False
C-FK-8130,L-FK-2024-1103,20-03-2025,WhatsApp,Disputed,,False
C-FK-8131,L-FK-2024-1103,28-03-2025,Email,Promise to Pay,05-04-2025,True
C-FK-8132,L-FK-2024-1103,17-04-2025,WhatsApp,No Response,,False
C-FK-8133,L-FK-2024-1105,03-08-2024,Email,No Response,,False
C-FK-8134,L-FK-2024-1105,17-08-2024,SMS,Already Paid,,False
C-FK-8135,L-FK-2024-1105,09-08-2024,Phone Call,Requested Extension,,False
C-FK-8136,L-FK-2024-1107,06-10-2024,Email,Promise to Pay,14-10-2024,False
C-FK-8137,L-FK-2024-1107,17-10-2024,SMS,Already Paid,,False
C-FK-8138,L-FK-2024-1107,12-10-2024,Phone Call,Disputed,,False
C-FK-8139,L-FK-2024-1107,14-11-2024,Phone Call,Disputed,,False
C-FK-8140,L-FK-2024-1107,01-12-2024,Email,Disputed,,False
C-FK-8141,L-FK-2024-1109,27-12-2024,Field Visit,Already Paid,,False
C-FK-8142,L-FK-2024-1109,31-12-2024,Email,Disputed,,False
C-FK-8143,L-FK-2024-1112,02-11-2024,Email,No Response,,False
C-FK-8144,L-FK-2024-1112,09-11-2024,SMS,Requested Extension,,False
C-FK-8145,L-FK-2024-1112,30-11-2024,Field Visit,Promise to Pay,11-12-2024,True
C-FK-8146,L-FK-2024-1112,11-11-2024,WhatsApp,Promise to Pay,21-11-2024,True
C-FK-8147,L-FK-2024-1113,31-03-2025,Email,Promise to Pay,10-04-2025,True
C-FK-8148,L-FK-2024-1113,13-04-2025,SMS,Requested Extension,,False
C-FK-8149,L-FK-2024-1113,12-04-2025,Phone Call,Promise to Pay,17-04-2025,True
C-FK-8150,L-FK-2024-1113,12-04-2025,Phone Call,Already Paid,,False
C-FK-8151,L-FK-2024-1113,20-04-2025,Email,Disputed,,False
C-FK-8152,L-FK-2024-1116,15-01-2025,Email,Disputed,,False
C-FK-8153,L-FK-2024-1116,28-01-2025,SMS,No Response,,False
C-FK-8154,L-FK-2024-1116,06-02-2025,Phone Call,Already Paid,,False
C-FK-8155,L-FK-2024-1117,26-12-2024,Field Visit,Requested Extension,,False
C-FK-8156,L-FK-2024-1117,30-12-2024,Email,Disputed,,False
C-FK-8157,L-FK-2024-1117,23-01-2025,Field Visit,Already Paid,,False
C-FK-8158,L-FK-2024-1118,19-12-2024,Phone Call,Promise to Pay,26-12-2024,False
C-FK-8159,L-FK-2024-1118,23-12-2024,WhatsApp,No Response,,False
C-FK-8160,L-FK-2024-1118,16-01-2025,SMS,Requested Extension,,False
C-FK-8161,L-FK-2024-1118,30-01-2025,Field Visit,No Response,,False
C-FK-8162,L-FK-2024-1119,25-10-2024,Field Visit,Already Paid,,False
C-FK-8163,L-FK-2024-1119,08-11-2024,WhatsApp,No Response,,False
C-FK-8164,L-FK-2024-1119,31-10-2024,Field Visit,Requested Extension,,False
C-FK-8165,L-FK-2024-1120,16-03-2025,WhatsApp,Already Paid,,False
C-FK-8166,L-FK-2024-1120,24-03-2025,Field Visit,Promise to Pay,04-04-2025,True
C-FK-8167,L-FK-2024-1123,28-01-2025,Field Visit,No Response,,False
C-FK-8168,L-FK-2024-1123,07-02-2025,SMS,Disputed,,False
C-FK-8169,L-FK-2024-1127,30-01-2025,Email,Already Paid,,False
C-FK-8170,L-FK-2024-1127,04-02-2025,WhatsApp,Requested Extension,,False
C-FK-8171,L-FK-2024-1127,09-02-2025,Field Visit,No Response,,False
C-FK-8172,L-FK-2024-1129,23-11-2024,WhatsApp,No Response,,False
C-FK-8173,L-FK-2024-1129,07-12-2024,Email,Requested Extension,,False
C-FK-8174,L-FK-2024-1129,19-12-2024,Email,Promise to Pay,29-12-2024,False
C-FK-8175,L-FK-2024-1130,28-11-2024,SMS,Promise to Pay,12-12-2024,False
C-FK-8176,L-FK-2024-1133,29-01-2025,Email,Already Paid,,False
C-FK-8177,L-FK-2024-1134,18-09-2024,WhatsApp,Promise to Pay,21-09-2024,True
C-FK-8178,L-FK-2024-1134,27-09-2024,WhatsApp,Already Paid,,False
C-FK-8179,L-FK-2024-1134,06-10-2024,Phone Call,Already Paid,,False
C-FK-8180,L-FK-2024-1136,30-03-2025,SMS,Disputed,,False
C-FK-8181,L-FK-2024-1136,13-04-2025,Email,Requested Extension,,False
C-FK-8182,L-FK-2024-1136,07-04-2025,Field Visit,Promise to Pay,15-04-2025,True
C-FK-8183,L-FK-2024-1136,08-04-2025,Email,Disputed,,False
C-FK-8184,L-FK-2024-1136,21-05-2025,Email,Promise to Pay,02-06-2025,False
C-FK-8185,L-FK-2024-1138,13-07-2024,SMS,Promise to Pay,19-07-2024,True
C-FK-8186,L-FK-2024-1138,27-07-2024,WhatsApp,No Response,,False
C-FK-8187,L-FK-2024-1138,10-08-2024,Phone Call,Requested Extension,,False
C-FK-8188,L-FK-2024-1143,20-11-2024,Email,Promise to Pay,23-11-2024,False
C-FK-8189,L-FK-2024-1143,25-11-2024,Phone Call,No Response,,False
C-FK-8190,L-FK-2024-1144,24-09-2024,Email,Requested Extension,,False
C-FK-8191,L-FK-2024-1144,29-09-2024,SMS,Already Paid,,False
C-FK-8192,L-FK-2024-1144,30-09-2024,SMS,No Response,,False
C-FK-8193,L-FK-2024-1144,21-10-2024,WhatsApp,Already Paid,,False
C-FK-8194,L-FK-2024-1144,19-11-2024,SMS,Requested Extension,,False
C-FK-8195,L-FK-2024-1146,06-08-2024,Email,No Response,,False
C-FK-8196,L-FK-2024-1146,19-08-2024,WhatsApp,Already Paid,,False
C-FK-8197,L-FK-2024-1146,01-09-2024,WhatsApp,Already Paid,,False
C-FK-8198,L-FK-2024-1146,15-08-2024,Phone Call,No Response,,False
C-FK-8199,L-FK-2024-1148,22-09-2024,SMS,Requested Extension,,False
C-FK-8200,L-FK-2024-1150,24-07-2024,Email,Requested Extension,,False
C-FK-8201,L-FK-2024-1151,19-01-2025,Field Visit,No Response,,False
C-FK-8202,L-FK-2024-1151,24-01-2025,Email,Already Paid,,False
C-FK-8203,L-FK-2024-1151,14-02-2025,WhatsApp,Already Paid,,False
C-FK-8204,L-FK-2024-1152,28-02-2025,Phone Call,Disputed,,False
C-FK-8205,L-FK-2024-1152,14-03-2025,SMS,Requested Extension,,False
C-FK-8206,L-FK-2024-1152,18-03-2025,Email,No Response,,False
C-FK-8207,L-FK-2024-1152,02-04-2025,Field Visit,Requested Extension,,False
C-FK-8208,L-FK-2024-1152,09-04-2025,Field Visit,No Response,,False
C-FK-8209,L-FK-2024-1157,03-04-2025,SMS,No Response,,False
C-FK-8210,L-FK-2024-1157,16-04-2025,SMS,No Response,,False
C-FK-8211,L-FK-2024-1157,27-04-2025,WhatsApp,Promise to Pay,30-04-2025,True
C-FK-8212,L-FK-2024-1157,15-04-2025,SMS,No Response,,False
C-FK-8213,L-FK-2024-1157,21-05-2025,Field Visit,Promise to Pay,03-06-2025,False
C-FK-8214,L-FK-2024-1158,26-01-2025,Phone Call,No Response,,False
C-FK-8215,L-FK-2024-1158,06-02-2025,WhatsApp,Disputed,,False
C-FK-8216,L-FK-2024-1158,17-02-2025,Phone Call,Promise to Pay,26-02-2025,True
C-FK-8217,L-FK-2024-1167,07-03-2025,WhatsApp,Requested Extension,,False
C-FK-8218,L-FK-2024-1167,20-03-2025,Email,Requested Extension,,False
C-FK-8219,L-FK-2024-1169,17-02-2025,Field Visit,Disputed,,False
C-FK-8220,L-FK-2024-1169,25-02-2025,Field Visit,Requested Extension,,False
C-FK-8221,L-FK-2024-1172,16-09-2024,Phone Call,No Response,,False
C-FK-8222,L-FK-2024-1172,22-09-2024,SMS,No Response,,False
C-FK-8223,L-FK-2024-1172,26-09-2024,SMS,Disputed,,False
C-FK-8224,L-FK-2024-1172,01-10-2024,Field Visit,Requested Extension,,False
C-FK-8225,L-FK-2024-1172,10-10-2024,WhatsApp,Requested Extension,,False
C-FK-8226,L-FK-2024-1176,25-01-2025,Email,Requested Extension,,False
C-FK-8227,L-FK-2024-1176,29-01-2025,WhatsApp,Requested Extension,,False
C-FK-8228,L-FK-2024-1176,08-02-2025,SMS,Already Paid,,False
C-FK-8229,L-FK-2024-1178,05-06-2024,Email,Disputed,,False
C-FK-8230,L-FK-2024-1178,19-06-2024,WhatsApp,Promise to Pay,30-06-2024,False
C-FK-8231,L-FK-2024-1178,01-07-2024,Field Visit,Promise to Pay,15-07-2024,False
C-FK-8232,L-FK-2024-1178,11-07-2024,WhatsApp,Promise to Pay,20-07-2024,True
C-FK-8233,L-FK-2024-1179,12-06-2024,SMS,Requested Extension,,False
C-FK-8234,L-FK-2024-1179,16-06-2024,Phone Call,Disputed,,False
C-FK-8235,L-FK-2024-1179,04-07-2024,Field Visit,No Response,,False
C-FK-8236,L-FK-2024-1179,09-07-2024,WhatsApp,No Response,,False
C-FK-8237,L-FK-2024-1181,19-06-2024,SMS,Disputed,,False
C-FK-8238,L-FK-2024-1182,24-10-2024,Email,No Response,,False
C-FK-8239,L-FK-2024-1182,30-10-2024,Phone Call,Already Paid,,False
C-FK-8240,L-FK-2024-1184,20-08-2024,Field Visit,Disputed,,False
C-FK-8241,L-FK-2024-1186,11-10-2024,Field Visit,Disputed,,False
C-FK-8242,L-FK-2024-1186,18-10-2024,WhatsApp,Requested Extension,,False
C-FK-8243,L-FK-2024-1186,04-11-2024,Phone Call,No Response,,False
C-FK-8244,L-FK-2024-1186,26-10-2024,Email,Disputed,,False
C-FK-8245,L-FK-2024-1189,10-12-2024,Field Visit,Requested Extension,,False
C-FK-8246,L-FK-2024-1189,22-12-2024,Email,Already Paid,,False
C-FK-8247,L-FK-2024-1190,19-09-2024,Field Visit,No Response,,False
C-FK-8248,L-FK-2024-1190,03-10-2024,Email,Promise to Pay,16-10-2024,False
C-FK-8249,L-FK-2024-1190,13-10-2024,Phone Call,Disputed,,False
C-FK-8250,L-FK-2024-1190,31-10-2024,SMS,Disputed,,False
C-FK-8251,L-FK-2024-1190,10-11-2024,Email,Requested Extension,,False
C-FK-8252,L-FK-2024-1191,23-08-2024,Email,Disputed,,False
C-FK-8253,L-FK-2024-1191,03-09-2024,WhatsApp,Disputed,,False
C-FK-8254,L-FK-2024-1191,10-09-2024,SMS,Requested Extension,,False
C-FK-8255,L-FK-2024-1191,13-09-2024,WhatsApp,No Response,,False
C-FK-8256,L-FK-2024-1192,26-11-2024,Phone Call,No Response,,False
C-FK-8257,L-FK-2024-1192,30-11-2024,Phone Call,Promise to Pay,04-12-2024,False
C-FK-8258,L-FK-2024-1192,04-12-2024,Field Visit,Disputed,,False
C-FK-8259,L-FK-2024-1192,26-12-2024,Email,No Response,,False
C-FK-8260,L-FK-2024-1196,06-04-2025,Field Visit,Promise to Pay,16-04-2025,False
C-FK-8261,L-FK-2024-1196,20-04-2025,Email,No Response,,False
C-FK-8262,L-FK-2024-1196,12-04-2025,SMS,Requested Extension,,False
C-FK-8263,L-FK-2024-1196,18-05-2025,Email,No Response,,False
C-FK-8264,L-FK-2024-1196,01-06-2025,WhatsApp,Requested Extension,,False
C-FK-8265,L-FK-2024-1197,08-10-2024,Field Visit,Requested Extension,,False
C-FK-8266,L-FK-2024-1197,11-10-2024,Email,Requested Extension,,False
C-FK-8267,L-FK-2024-1200,02-04-2025,SMS,Promise to Pay,07-04-2025,False
C-FK-8268,L-FK-2024-1200,13-04-2025,Phone Call,Disputed,,False
C-FK-8269,L-FK-2024-1202,04-10-2024,WhatsApp,Promise to Pay,12-10-2024,True
C-FK-8270,L-FK-2024-1202,17-10-2024,Phone Call,Promise to Pay,28-10-2024,True
C-FK-8271,L-FK-2024-1202,18-10-2024,Email,Disputed,,False
C-FK-8272,L-FK-2024-1202,25-10-2024,SMS,Disputed,,False
C-FK-8273,L-FK-2024-1205,02-04-2025,Email,Requested Extension,,False
C-FK-8274,L-FK-2024-1209,25-09-2024,Phone Call,Requested Extension,,False
C-FK-8275,L-FK-2024-1209,05-10-2024,Email,Requested Extension,,False
C-FK-8276,L-FK-2024-1210,19-11-2024,Email,Requested Extension,,False
C-FK-8277,L-FK-2024-1212,09-09-2024,Phone Call,No Response,,False
C-FK-8278,L-FK-2024-1212,17-09-2024,Phone Call,Promise to Pay,26-09-2024,False
C-FK-8279,L-FK-2024-1212,27-09-2024,SMS,Already Paid,,False
C-FK-8280,L-FK-2024-1214,14-08-2024,Email,Promise to Pay,23-08-2024,False
C-FK-8281,L-FK-2024-1216,19-12-2024,SMS,Disputed,,False
C-FK-8282,L-FK-2024-1217,24-11-2024,WhatsApp,Disputed,,False
C-FK-8283,L-FK-2024-1217,03-12-2024,Phone Call,Promise to Pay,14-12-2024,True
C-FK-8284,L-FK-2024-1217,14-12-2024,SMS,Already Paid,,False
C-FK-8285,L-FK-2024-1217,09-12-2024,Email,Disputed,,False
C-FK-8286,L-FK-2024-1223,16-08-2024,Phone Call,Promise to Pay,20-08-2024,False
C-FK-8287,L-FK-2024-1224,26-01-2025,Phone Call,Disputed,,False
C-FK-8288,L-FK-2024-1224,31-01-2025,WhatsApp,Promise to Pay,10-02-2025,True
C-FK-8289,L-FK-2024-1227,29-01-2025,Email,Requested Extension,,False
C-FK-8290,L-FK-2024-1236,21-06-2024,Email,Requested Extension,,False
C-FK-8291,L-FK-2024-1236,26-06-2024,Phone Call,No Response,,False
C-FK-8292,L-FK-2024-1237,26-02-2025,Field Visit,Disputed,,False
C-FK-8293,L-FK-2024-1238,03-03-2025,WhatsApp,Promise to Pay,06-03-2025,True
C-FK-8294,L-FK-2024-1241,12-07-2024,Email,No Response,,False
C-FK-8295,L-FK-2024-1241,22-07-2024,WhatsApp,Disputed,,False
C-FK-8296,L-FK-2024-1241,01-08-2024,Email,No Response,,False
C-FK-8297,L-FK-2024-1241,30-07-2024,SMS,Requested Extension,,False
C-FK-8298,L-FK-2024-1243,10-12-2024,Phone Call,Disputed,,False
C-FK-8299,L-FK-2024-1243,17-12-2024,SMS,Promise to Pay,30-12-2024,True
C-FK-8300,L-FK-2024-1243,30-12-2024,Field Visit,No Response,,False
C-FK-8301,L-FK-2024-1243,15-01-2025,Field Visit,Promise to Pay,21-01-2025,True
C-FK-8302,L-FK-2024-1243,31-01-2025,Email,Promise to Pay,06-02-2025,False
C-FK-8303,L-FK-2024-1245,21-01-2025,SMS,Promise to Pay,30-01-2025,False
C-FK-8304,L-FK-2024-1249,06-12-2024,Email,Already Paid,,False
C-FK-8305,L-FK-2024-1250,14-12-2024,Email,Promise to Pay,20-12-2024,False
C-FK-8306,L-FK-2024-1250,17-12-2024,Email,Requested Extension,,False
C-FK-8307,L-FK-2024-1250,09-01-2025,WhatsApp,No Response,,False
C-FK-8308,L-FK-2024-1250,26-12-2024,WhatsApp,Disputed,,False
C-FK-8309,L-FK-2024-1250,11-01-2025,Email,Disputed,,False
C-FK-8310,L-FK-2024-1251,27-10-2024,WhatsApp,Promise to Pay,30-10-2024,False
C-FK-8311,L-FK-2024-1251,02-11-2024,Email,Disputed,,False
C-FK-8312,L-FK-2024-1256,13-08-2024,Email,No Response,,False
C-FK-8313,L-FK-2024-1256,18-08-2024,Email,Disputed,,False
C-FK-8314,L-FK-2024-1256,29-08-2024,WhatsApp,Disputed,,False
C-FK-8315,L-FK-2024-1260,26-08-2024,Field Visit,No Response,,False
C-FK-8316,L-FK-2024-1261,29-11-2024,Field Visit,Disputed,,False
C-FK-8317,L-FK-2024-1261,10-12-2024,WhatsApp,Requested Extension,,False
C-FK-8318,L-FK-2024-1263,10-11-2024,Phone Call,Promise to Pay,22-11-2024,False
C-FK-8319,L-FK-2024-1263,15-11-2024,Phone Call,Requested Extension,,False
C-FK-8320,L-FK-2024-1266,28-09-2024,Phone Call,Promise to Pay,04-10-2024,True
C-FK-8321,L-FK-2024-1270,29-08-2024,WhatsApp,Requested Extension,,False
C-FK-8322,L-FK-2024-1271,27-02-2025,Phone Call,Promise to Pay,10-03-2025,True
C-FK-8323,L-FK-2024-1271,04-03-2025,WhatsApp,Promise to Pay,13-03-2025,True
C-FK-8324,L-FK-2024-1271,21-03-2025,WhatsApp,Disputed,,False
C-FK-8325,L-FK-2024-1273,10-09-2024,Email,No Response,,False
C-FK-8326,L-FK-2024-1273,14-09-2024,Email,Already Paid,,False
C-FK-8327,L-FK-2024-1273,02-10-2024,Phone Call,Requested Extension,,False
C-FK-8328,L-FK-2024-1273,25-09-2024,WhatsApp,Requested Extension,,False
C-FK-8329,L-FK-2024-1275,03-07-2024,Phone Call,Requested Extension,,False
C-FK-8330,L-FK-2024-1275,17-07-2024,Email,Promise to Pay,31-07-2024,True
C-FK-8331,L-FK-2024-1286,17-08-2024,SMS,No Response,,False
C-FK-8332,L-FK-2024-1286,27-08-2024,Email,Requested Extension,,False
C-FK-8333,L-FK-2024-1286,08-09-2024,Email,Already Paid,,False
C-FK-8334,L-FK-2024-1286,22-09-2024,SMS,Disputed,,False
C-FK-8335,L-FK-2024-1286,06-09-2024,SMS,No Response,,False
C-FK-8336,L-FK-2024-1288,04-08-2024,Field Visit,No Response,,False
C-FK-8337,L-FK-2024-1288,14-08-2024,Field Visit,Requested Extension,,False
C-FK-8338,L-FK-2024-1288,18-08-2024,SMS,Disputed,,False
